"TAXA"	"PROJECT"	"ABUNDANCE"
"Propionibacteriaceae"	"SRR061287"	0.05
"Moraxellaceae"	"SRR061287"	0
"Prevotellaceae"	"SRR061287"	8.13
"Acetobacteraceae"	"SRR062284"	0
"Cellulomonadaceae"	"SRR062284"	0
"Mycoplasmataceae"	"SRR062284"	0
"Clostridiaceae"	"SRR062284"	0
"Dermacoccaceae"	"SRR062284"	0
"Eubacteriaceae"	"SRR062284"	0
"Bacteroidaceae"	"SRR062284"	0
"Bifidobacteriaceae"	"SRR062284"	0
"Cardiobacteriaceae"	"SRR062284"	0
"Erythrobacteraceae"	"SRR062284"	0
"Chromatiaceae"	"SRR062284"	0
"Hydrogenophilaceae"	"SRR062284"	0
"Spirochaetaceae"	"SRR062284"	0
"Promicromonosporaceae"	"SRR062284"	0
"Akkermansiaceae"	"SRR062284"	0
"Bradyrhizobiaceae"	"SRR062284"	0
"Cytophagaceae"	"SRR062284"	0
"Methylobacteriaceae"	"SRR062284"	0
"Planococcaceae"	"SRR062284"	0
"Rikenellaceae"	"SRR062284"	0
"Intrasporangiaceae"	"SRR062284"	0
"Alcaligenaceae"	"SRR062284"	0
"Enterobacteriaceae"	"SRR062284"	0.17
"Sphingomonadaceae"	"SRR062284"	0
"Peptostreptococcaceae"	"SRR062284"	0
"Mycobacteriaceae"	"SRR062284"	0
"Sanguibacteraceae"	"SRR062284"	0
"Bacillaceae"	"SRR062284"	0
"Atopobiaceae"	"SRR062284"	0
"Comamonadaceae"	"SRR062284"	0.04
"Vibrionaceae"	"SRR062284"	0
"Selenomonadaceae"	"SRR062284"	0
"Pseudomonadaceae"	"SRR062284"	0
"Peptoniphilaceae"	"SRR062284"	1.1
"Burkholderiaceae"	"SRR062284"	0
"Xanthomonadaceae"	"SRR062284"	0.07
"Aerococcaceae"	"SRR062284"	0
"Staphylococcaceae"	"SRR062284"	0.14
"Lactobacillaceae"	"SRR062284"	0
"Erysipelotrichaceae"	"SRR062284"	0
"Clostridiales Family XIII. Incertae Sedis"	"SRR062284"	0
